Mine ID,Mine Name,mine_type,Commodity,Mine Status,Status Date,Type of Mine,Street,City,State,Zip Code,full_address,lat,lon,confidence,geocode_method
100009,Dolcito Quarry,limestone_mine,"Crushed, Broken Limestone NEC",Active,7/4/1976,Surface,2101 Pinson Valley Parkway,Birmingham,Alabama,35217,"2101 Pinson Valley Parkway, Birmingham, Alabama 35217.0",33.589253615545,-86.76522528753,,python
100011,Imerys Sylacauga Operations,limestone_mine,"Crushed, Broken Marble",Active,11/14/1975,Surface,1301 Gene E Stewart Blvd.,Sylacauga,Alabama,35151,"1301 Gene E Stewart Blvd., Sylacauga, Alabama 35151.0",33.156325844828,-86.297580617235,,python
100013,C A Langford Co Inc,limestone_mine,"Crushed, Broken Limestone NEC",Active,11/14/1975,Surface,2120 Warrenton Rd,Guntersville,Alabama,35976,"2120 Warrenton Rd, Guntersville, Alabama 35976.0",34.337063980797,-86.369512295172,,python
100021,HUNTSVILLE NORTH QUARRY,limestone_mine,"Crushed, Broken Limestone NEC",Active,4/18/1975,Surface,4210 Northwest Stringfield Road,Huntsville,Alabama,35810,"4210 Northwest Stringfield Road, Huntsville, Alabama 35810.0",34.778635722713,-86.626515513396,,python
100037,CHILDERSBURG QUARRY,limestone_mine,"Crushed, Broken Limestone NEC",Active,11/26/1975,Surface,1408 Flagpole Mountain Road,Childersburg,Alabama,35044,"1408 Flagpole Mountain Road, Childersburg, Alabama 35044.0",33.237166633504,-86.35187867204,,python
100039,Trinity Quarry,limestone_mine,"Crushed, Broken Limestone NEC",Active,12/27/1984,Surface,3950 Alabama Hwy. 20 West,Trinity,Alabama,35673,"3950 Alabama Hwy. 20 West, Trinity, Alabama 35673.0",34.620146664026,-87.075035921252,,python
100047,GLENCOE QUARRY,limestone_mine,"Crushed, Broken Limestone NEC",Active,12/5/1975,Surface,608 East Main Street,Glencoe,Alabama,35905,"608 East Main Street, Glencoe, Alabama 35905.0",33.945233992968,-85.927210159385,,python
100050,Calera Quarry,limestone_mine,"Crushed, Broken Limestone NEC",Active,12/5/1975,Surface,1614 Highway 84,Calera,Alabama,35040,"1614 Highway 84, Calera, Alabama 35040.0",33.142722916893,-86.759524940387,,python
100052,"Wade Sand & Gravel Co., Inc.",limestone_mine,"Crushed, Broken Limestone NEC",Active,12/5/1975,Surface,1200 10th St W,Birmingham,Alabama,35204,"1200 10th St W, Birmingham, Alabama 35204.0",33.523164879907,-86.852901201532,,python
100130,Scottsboro Quarry,limestone_mine,"Crushed, Broken Limestone NEC",Active,12/27/1984,Surface,3145 Porter Road,Scottsboro,Alabama,35768,"3145 Porter Road, Scottsboro, Alabama 35768.0",34.623560641307,-86.088422598051,,python
100526,HELENA QUARRY,limestone_mine,"Crushed, Broken Limestone NEC",Active,9/8/2014,Surface,237 Limestone Drive,Helena,Alabama,35080,"237 Limestone Drive, Helena, Alabama 35080.0",33.316776650897,-86.8269471369,,python
100853,Lacon Quarry,limestone_mine,"Crushed, Broken Limestone NEC",Active,6/21/1984,Surface,145 East Lacon Road,Falkville,Alabama,35622,"145 East Lacon Road, Falkville, Alabama 35622.0",34.338742248835,-86.888963814013,,python
101552,Roberta Plant,limestone_mine,"Crushed, Broken Limestone NEC",Abandoned,3/13/2014,Facility,730 Hwy. 23,Calera,Alabama,35040,"730 Hwy. 23, Calera, Alabama 35040.0",33.102827852479,-86.812990540991,,python
102013,Moulton Quarry,limestone_mine,"Crushed, Broken Limestone NEC",Abandoned,3/11/2020,Surface,15160 County Road 7,Moulton,Alabama,35650,"15160 County Road 7, Moulton, Alabama 35650.0",34.451449325831,-87.381527118655,,python
102014,Allsboro Quarry & Mill,limestone_mine,"Crushed, Broken Limestone NEC",Active,4/1/1979,Surface,96 State Line Rd,Cherokee,Alabama,35616,"96 State Line Rd, Cherokee, Alabama 35616.0",34.726194329524,-88.116901913126,,python
102140,Alexander City,limestone_mine,"Crushed, Broken Granite",Active,5/7/2013,Surface,625 Coosa County Road 32,Alexander City,Alabama,35010,"625 Coosa County Road 32, Alexander City, Alabama 35010.0",32.936633626413,-85.975937379696,,python
102523,Guntersville Quarry,limestone_mine,"Crushed, Broken Limestone NEC",Active,6/29/1983,Surface,692 Convict Camp Rd.,GUNTERSVILLE,Alabama,35976,"692 Convict Camp Rd., GUNTERSVILLE, Alabama 35976.0",34.44227248574,-86.25804367447,,python
102660,North Huntsville Quarry & Mill,limestone_mine,"Crushed, Broken Limestone NEC",Active,5/28/1986,Surface,6250 Stringfield Rd,Huntsville,Alabama,35806,"6250 Stringfield Rd, Huntsville, Alabama 35806.0",34.778759733227,-86.643087342286,,python
102743,Summit Quarry,limestone_mine,"Crushed, Broken Limestone NEC",Active,11/14/1988,Surface,2335 Hinds Road,Blountsville,Alabama,35031,"2335 Hinds Road, Blountsville, Alabama 35031.0",34.194686033049,-86.480499883586,,python
102871,Decatur Quarry,limestone_mine,"Crushed, Broken Limestone NEC",Abandoned,1/22/2009,Surface,3523 Gordon Terry Pkwy,Decatur,Alabama,35601,"3523 Gordon Terry Pkwy, Decatur, Alabama 35601.0",34.583893229665,-87.068975497936,,python
102956,Speedway Quarry,limestone_mine,"Crushed, Broken Limestone NEC",Active,9/27/1998,Surface,7575 Eastaboga Road,Eastaboga,Alabama,36260,"7575 Eastaboga Road, Eastaboga, Alabama 36260.0",33.558421430896,-86.040613300048,,python
102985,Omya Alabama Plant,limestone_mine,"Crushed, Broken Marble",Active,3/16/1993,Facility,2071 Sylacauga Fayetteville Highway,Sylacauga,Alabama,35151,"2071 Sylacauga Fayetteville Highway, Sylacauga, Alabama 35151.0",33.160846901911,-86.308129551054,,python
103068,Alabaster Quarry,limestone_mine,"Crushed, Broken Limestone NEC",Abandoned,9/2/2020,Surface,1180 Fulton Springs Rd.,Alabaster,Alabama,35007,"1180 Fulton Springs Rd., Alabaster, Alabama 35007.0",33.214627531686,-86.813788585569,,python
103076,O'Neal Quarry,limestone_mine,"Crushed, Broken Limestone NEC",Active,5/30/1996,Surface,3703 Hwy. 31 North,Calera,Alabama,35040,"3703 Hwy. 31 North , Calera, Alabama 35040.0",33.166442030172,-86.756076076641,,python
103083,Opelika Quarry,limestone_mine,"Crushed, Broken Limestone NEC",Abandoned,3/24/2016,Surface,3085 Al Hwy. 169,Opelika,Alabama,35010,"3085 Al Hwy. 169, Opelika, Alabama 35010.0",32.585109656705,-85.334330213252,,python
103087,TUSCALOOSA QUARRY,limestone_mine,"Crushed, Broken Limestone NEC",Active,1/15/1997,Surface,11717 Vulcan Road,Vance,Alabama,35490,"11717 Vulcan Road, Vance, Alabama 35490.0",33.133107659071,-87.286797211076,,python
103100,Battleground Rock Quarry,limestone_mine,"Crushed, Broken Limestone NEC",Active,7/20/1998,Surface,624 E State Crusher Rd,Falkville,Alabama,35622,"624 E State Crusher Rd, Falkville, Alabama 35622.0",34.336255068561,-86.989206078836,,python
103175,Alabaster Mill,limestone_mine,"Crushed, Broken Limestone NEC",Active,12/9/1999,Facility,1152 Old Hwy 31,Alabaster,Alabama,35007,"1152 Old Hwy 31, Alabaster, Alabama 35007.0",33.222992459008,-86.806695220216,,python
103176,Limestone County Quarry,limestone_mine,"Crushed, Broken Limestone NEC",Abandoned,11/15/2010,Surface,22917  Easter Ferry Road,Elmont,Alabama,35620,"22917  Easter Ferry Road, Elmont, Alabama 35620.0",34.889917067876,-87.030228455179,,python
