Mine ID,Mine Name,Commodity,Mine Status,Status Date,Type of Mine,Street,City,State,Zip Code,full_address,lat,lon,confidence,geocode_method
100004,Brierfield Quarry,"Crushed, Broken Limestone NEC",Active,3/4/2003,Surface,14786 Montevallo Road,Brierfield,Alabama,35035,"14786 Montevallo Road, Brierfield, Alabama 35035.0",,,,none
100006,Auburn Quarry,"Crushed, Broken Limestone NEC",Active,9/24/1976,Surface,3505 County Road 159,Auburn,Alabama,36830,"3505 County Road 159, Auburn, Alabama 36830.0",,,,none
100009,Dolcito Quarry,"Crushed, Broken Limestone NEC",Active,7/4/1976,Surface,2101 Pinson Valley Parkway,Birmingham,Alabama,35217,"2101 Pinson Valley Parkway, Birmingham, Alabama 35217.0",33.589253615545,-86.76522528753,,python
100011,Imerys Sylacauga Operations,"Crushed, Broken Marble",Active,11/14/1975,Surface,1301 Gene E Stewart Blvd.,Sylacauga,Alabama,35151,"1301 Gene E Stewart Blvd., Sylacauga, Alabama 35151.0",33.156325844828,-86.297580617235,,python
100012,Ohatchee Quarry,"Crushed, Broken Limestone NEC",Active,12/13/2011,Surface,582 McCullars Lane,Alexandria,Alabama,36250,"582 McCullars Lane, Alexandria, Alabama 36250.0",,,,none
100013,C A Langford Co Inc,"Crushed, Broken Limestone NEC",Active,11/14/1975,Surface,2120 Warrenton Rd,Guntersville,Alabama,35976,"2120 Warrenton Rd, Guntersville, Alabama 35976.0",34.337063980797,-86.369512295172,,python
100021,HUNTSVILLE NORTH QUARRY,"Crushed, Broken Limestone NEC",Active,4/18/1975,Surface,4210 Northwest Stringfield Road,Huntsville,Alabama,35810,"4210 Northwest Stringfield Road, Huntsville, Alabama 35810.0",34.778635722713,-86.626515513396,,python
100030,Tuscumbia Quarry,"Crushed, Broken Limestone NEC",Active,6/21/1984,Surface,520 Three Mile Lane,Tuscumbia,Alabama,35674,"520 Three Mile Lane, Tuscumbia, Alabama 35674.0",,,,none
100033,Oakwood Quarry,"Crushed, Broken Limestone NEC",Abandoned,3/12/1990,Surface,Jordon Lane,Huntsville,Alabama,35810,"Jordon Lane, Huntsville, Alabama 35810.0",,,,none
100036,Cherokee Quarry,"Crushed, Broken Limestone NEC",Active,12/27/1984,Surface,5475 Old Lee Highway,Cherokee,Alabama,35616,"5475 Old Lee Highway, Cherokee, Alabama 35616.0",,,,none
100037,CHILDERSBURG QUARRY,"Crushed, Broken Limestone NEC",Active,11/26/1975,Surface,1408 Flagpole Mountain Road,Childersburg,Alabama,35044,"1408 Flagpole Mountain Road, Childersburg, Alabama 35044.0",33.237166633504,-86.35187867204,,python
100039,Trinity Quarry,"Crushed, Broken Limestone NEC",Active,12/27/1984,Surface,3950 Alabama Hwy. 20 West,Trinity,Alabama,35673,"3950 Alabama Hwy. 20 West, Trinity, Alabama 35673.0",34.620146664026,-87.075035921252,,python
100045,TUSCUMBIA QUARRY,"Crushed, Broken Limestone NEC",Active,1/30/1998,Surface,23314 Alabama Highway 72 West,Tuscumbia,Alabama,35674,"23314 Alabama Highway 72 West, Tuscumbia, Alabama 35674.0",,,,none
100047,GLENCOE QUARRY,"Crushed, Broken Limestone NEC",Active,12/5/1975,Surface,608 East Main Street,Glencoe,Alabama,35905,"608 East Main Street, Glencoe, Alabama 35905.0",33.945233992968,-85.927210159385,,python
100050,Calera Quarry,"Crushed, Broken Limestone NEC",Active,12/5/1975,Surface,1614 Highway 84,Calera,Alabama,35040,"1614 Highway 84, Calera, Alabama 35040.0",33.142722916893,-86.759524940387,,python
100052,"Wade Sand & Gravel Co., Inc.","Crushed, Broken Limestone NEC",Active,12/5/1975,Surface,1200 10th St W,Birmingham,Alabama,35204,"1200 10th St W, Birmingham, Alabama 35204.0",33.523164879907,-86.852901201532,,python
100130,Scottsboro Quarry,"Crushed, Broken Limestone NEC",Active,12/27/1984,Surface,3145 Porter Road,Scottsboro,Alabama,35768,"3145 Porter Road, Scottsboro, Alabama 35768.0",34.623560641307,-86.088422598051,,python
100526,HELENA QUARRY,"Crushed, Broken Limestone NEC",Active,9/8/2014,Surface,237 Limestone Drive,Helena,Alabama,35080,"237 Limestone Drive, Helena, Alabama 35080.0",33.316776650897,-86.8269471369,,python
100853,Lacon Quarry,"Crushed, Broken Limestone NEC",Active,6/21/1984,Surface,145 East Lacon Road,Falkville,Alabama,35622,"145 East Lacon Road, Falkville, Alabama 35622.0",34.338742248835,-86.888963814013,,python
101552,Roberta Plant,"Crushed, Broken Limestone NEC",Abandoned,3/13/2014,Facility,730 Hwy. 23,Calera,Alabama,35040,"730 Hwy. 23, Calera, Alabama 35040.0",33.102827852479,-86.812990540991,,python
102013,Moulton Quarry,"Crushed, Broken Limestone NEC",Abandoned,3/11/2020,Surface,15160 County Road 7,Moulton,Alabama,35650,"15160 County Road 7, Moulton, Alabama 35650.0",34.451449325831,-87.381527118655,,python
102014,Allsboro Quarry & Mill,"Crushed, Broken Limestone NEC",Active,4/1/1979,Surface,96 State Line Rd,Cherokee,Alabama,35616,"96 State Line Rd, Cherokee, Alabama 35616.0",34.726194329524,-88.116901913126,,python
102086,ROCK PRODUCTS QUARRY,"Crushed, Broken Limestone NEC",Abandoned,5/18/2016,Surface,611 Rock Products Lane,Sylacauga,Alabama,35151,"611 Rock Products Lane, Sylacauga, Alabama 35151.0",,,,none
102096,Central Shop,"Crushed, Broken Limestone NEC",Abandoned,4/21/2008,Surface,1981 Butler Road,Montevallo,Alabama,35115,"1981 Butler Road, Montevallo, Alabama 35115.0",,,,none
